,state,county,area,num_zc_in_area,zipcode,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,persons_tested_final,testing_rate_final,adj_testing_rate_final,population,acs_zipcode_pop,white_pop,black_pop,hispanic_pop,poverty,percent_income_spent_on_rent,acs_zipcode_employed_pop,commuters_by_public_transportation,employed_education_health_social,employed_arts_entertainment_recreation_accommodation_food,employed_transportation_warehousing_utilities
31,California,Los Angeles County,Los Angeles - Crenshaw District,1,90008,60,60,433.35,2,14.46,8.88,194,1402.85,1388.99,13829,31739,1388,20640,7619,6926,43.4,14597,1524,4380,1223,1290
34,California,Los Angeles County,Los Angeles - Del Rey,1,90293,61,61,180.98,3,10.02,7.13,315,1052.24,967.59,29936,12694,7819,796,1627,744,26.1,8311,124,1511,673,404
40,California,Los Angeles County,Los Angeles - Eagle Rock,1,90041,140,140,320.91,8,20.21,13.98,349,881.56,832.32,39589,29516,8784,548,10787,2949,30,15021,653,4480,1811,651
41,California,Los Angeles County,Los Angeles - East Hollywood,1,90029,177,177,548.23,32,109.26,93.59,242,826.31,772.96,29287,37898,9087,1100,20581,9246,35.3,20803,4817,3785,4056,654
42,California,Los Angeles County,Los Angeles - Echo Park,1,90026,34,34,230.99,0,0,0,122,855.78,759.18,14256,69589,18118,2351,36452,13614,31,39166,5221,6800,6541,1550
43,California,Los Angeles County,Los Angeles - El Sereno,1,90032,127,127,290.52,15,35.88,30.38,306,731.92,721.18,41808,47627,3512,627,37852,9378,35.1,22077,1862,5261,2774,1186
44,California,Los Angeles County,Los Angeles - Elysian Park,1,90026,12,12,171.59,0,0,0,44,770.31,664.92,5712,69589,18118,2351,36452,13614,31,39166,5221,6800,6541,1550
45,California,Los Angeles County,Los Angeles - Elysian Valley,1,90039,35,35,321.51,0,0,0,78,766.89,717.71,10171,29589,11412,356,11865,2893,28.3,16579,690,3642,2889,459
,California,Los Angeles County,Los Angeles - Encino,1,91436,108,108,214,10,22.14,11.2,674,1492.07,1433.43,45172,22517,16538.5,558.5,2866,2023.5,36.4,11433,218,2719.5,903.5,333.5
48,California,Los Angeles County,Los Angeles - Exposition,1,90007,6,6,185.06,0,0,0,20,601.32,553.52,3326,41716,6506,4418,20987,15815,43.8,17181,2728,5351,1973,852
,California,Los Angeles County,Los Angeles - Exposition Park,1,90007,191,191,450.96,11,24.49,29.54,306,681.26,765.04,44917,48602.5,2766.5,10376,31394.75,14458,42.25,21144.25,3067,4374,2754.25,1387.5
53,California,Los Angeles County,Los Angeles - Faircrest Heights,1,90035,4,4,99.81,1,27.78,22.81,37,1027.78,976.02,3600,28085,19718,1807,2985,3351,33.6,15408,772,3061,2321,383
54,California,Los Angeles County,Los Angeles - Figueroa Park Square,1,90042,25,25,294.25,0,0,0,81,928.79,964.72,8721,63911,11141,1251,41346,10546,31.6,33323,3159,7165,4440,1226
55,California,Los Angeles County,Los Angeles - Florence-Firestone,1,90001,225,225,513.07,8,16.86,25.02,300,632.31,657.38,47445,58975,413,5138,53086,16911,39.5,23818,2974,3650,2537,1999
56,California,Los Angeles County,Los Angeles - Glassell Park,1,90065,146,146,433.45,5,15.82,14.36,284,898.62,847.5,31604,47887,9899,826,28428,7509,34.8,24583,1949,5312,3504,1136
57,California,Los Angeles County,Los Angeles - Gramercy Place,1,90019,46,46,430.29,2,18.58,11.85,138,1282.05,1154.08,10764,66245,9632,12588,30746,11450,34,35567,4115,7017,5930,1080
59,California,Los Angeles County,Los Angeles - Green Meadows,1,90061,103,103,489.67,2,9.3,14.16,144,669.61,710.46,21505,27646,303,8681,17909,7718,44.9,11641,745,2227,1237,953
,California,Los Angeles County,Los Angeles - Hancock Park,1,90020,72,72,375.26,2,11.74,11.82,256,1502.44,1472.8,17039,46722.33333,6234,2337,21067.66667,9516,35.7,25884.33333,5366.666667,3999,4797.333333,1059.333333
63,California,Los Angeles County,Los Angeles - Harbor City,1,90710,63,63,202.84,4,13.76,10.74,246,846.23,822.5,29070,28185,5016,3531,12727,5039,31.6,13491,584,2700,1570,1156
69,California,Los Angeles County,Los Angeles - Harbor Gateway,1,90502,97,97,223.48,3,6.88,7.32,300,688.07,695.39,43600,24011.66667,4435,1800,9824,3327.666667,33,11879.66667,313.6666667,2566.666667,1050.666667,931
69,California,Los Angeles County,Los Angeles - Harbor Pines,1,90710,6,6,238.63,0,0,0,19,788.71,764.11,2409,28185,5016,3531,12727,5039,31.6,13491,584,2700,1570,1156
70,California,Los Angeles County,Los Angeles - Harvard Heights,1,90006,92,92,529.59,9,49.9,65.63,130,720.82,717.81,18035,61698,2415,1806,45292,17326,36.7,31758,9329,3798,6298,1219
71,California,Los Angeles County,Los Angeles - Harvard Park,1,90061,195,195,522.42,2,5.27,5.24,328,864.64,874.19,37935,27646,303,8681,17909,7718,44.9,11641,745,2227,1237,953
72,California,Los Angeles County,Los Angeles - Highland Park,1,90042,132,132,263.13,1,2.07,1.78,304,628.22,617.16,48391,63911,11141,1251,41346,10546,31.6,33323,3159,7165,4440,1226
73,California,Los Angeles County,Los Angeles - Historic Filipinotown,1,90026,90,90,598.66,5,36.05,30.17,116,836.34,786.67,13870,69589,18118,2351,36452,13614,31,39166,5221,6800,6541,1550
,California,Los Angeles County,Los Angeles - Hollywood Hills,1,90069,74,74,245.96,5,16.99,16.1,346,1175.51,1077.67,29434,30393.5,19450,1318.5,6247,4422.25,31.5,19888,1251.5,2639.5,3763.5,570
81,California,Los Angeles County,Los Angeles - Hyde Park,1,90043,102,102,337.75,2,7.01,4.46,306,1072.14,1056.27,28541,44627,1912,26293,14331,8961,47.5,20152,1596,4999,1979,1478
82,California,Los Angeles County,Los Angeles - Jefferson Park,1,90018,28,28,339.91,1,12.39,10.24,74,916.64,938,8073,53256,2839,15139,31714,12091,39,24825,3280,5118,3155,1567
83,California,Los Angeles County,Los Angeles - Koreatown,1,90006,204,204,370.54,14,27.08,28.08,309,597.76,562.69,51693,61698,2415,1806,45292,17326,36.7,31758,9329,3798,6298,1219
84,California,Los Angeles County,Los Angeles - Lafayette Square,1,90019,16,16,344.73,0,0,0,47,1030.93,1037.2,4559,66245,9632,12588,30746,11450,34,35567,4115,7017,5930,1080
85,California,Los Angeles County,Los Angeles - Lake Balboa,1,91406,140,140,329.36,4,9.48,11.9,384,909.82,891.28,42206,55215,14748,2542,30991,9596,37.3,28423,1697,4927,3340,1231
86,California,Los Angeles County,Los Angeles - Lakeview Terrace,1,91342,80,80,593.9,2,15.23,12.95,176,1340.14,1339.56,13133,96487,13072,3220,73809,12958,35.7,45518,1683,9359,3784,2714
89,California,Los Angeles County,Los Angeles - Lincoln Heights,1,90031,166,166,481.67,12,36.81,30.63,227,696.38,691.23,32597,38535,2954,480,26001,8330,34.7,18302,2100,3294,2463,1036
,California,Los Angeles County,Los Angeles - Little Armenia,1,90029,165,165,1683.07,27,336.45,276.25,97,1208.72,1047.83,8025,41292,17934.5,1061.5,15018,7721,33.15,24003.5,3739.5,4330.5,4350.5,738.5
92,California,Los Angeles County,Los Angeles - Little Bangladesh,1,90020,102,102,353.67,2,7.06,7.19,239,843.24,821.91,28343,39102,4862,2447,12287,6420,35.6,22279,3735,3692,4238,891
93,California,Los Angeles County,Los Angeles - Little Tokyo,1,90012,10,10,226.03,1,31.92,6.06,48,1532.08,1661.49,3133,35913,5595,4695,10366,7832,33,13631,1639,2622,2052,467
94,California,Los Angeles County,Los Angeles - Longwood,1,90019,17,17,375.81,0,0,0,51,1184.94,1138.85,4304,66245,9632,12588,30746,11450,34,35567,4115,7017,5930,1080
95,California,Los Angeles County,Los Angeles - Los Feliz,1,90027,44,44,191.95,1,4.63,3.4,229,1059.79,982.47,21608,44686,26782,1023,9455,6196,31,27204,2662,4876,4645,823
96,California,Los Angeles County,Los Angeles - Manchester Square,1,90047,18,18,190.28,0,0,0,120,1405.81,1385.51,8536,48883,916,30525,16245,8990,45.1,21446,1104,5059,1748,2669
97,California,Los Angeles County,Los Angeles - Mandeville Canyon,1,90049,1,1,31.81,0,0,0,64,2048.66,2922.79,3124,36964,29579,629,2173,2581,29.2,20096,572,4553,1837,184
98,California,Los Angeles County,Los Angeles - Mar Vista,1,90066,67,67,144.34,4,9.42,6.95,478,1125.47,1064.41,42471,59394,28180,2321,17187,6053,30.2,34196,2313,6969,5606,1293
99,California,Los Angeles County,Los Angeles - Marina Peninsula,1,90292,9,9,143.64,0,0,0,75,1720.18,1709.82,4360,22490,15983,1613,1944,2642,30.4,14477,210,2543,1327,303
,California,Los Angeles County,Los Angeles - Melrose,1,90069,443,443,543.49,36,46.33,47.83,938,1207.27,1134.84,77696,36336.66667,25341,1656.333333,3966.333333,4170.666667,30.33333333,24067,927,3503.333333,4506.333333,703.3333333
