City_Name,Zipcode,Positive_Cases,Total_Tested,black_population,commuters_by_public_transportation,county,employed_arts_entertainment_recreation_accommodation_food,employed_education_health_social,employed_pop,employed_transportation_warehousing_utilities,geo_id,hispanic_pop,percent_income_spent_on_rent,poverty,total_pop,white_pop,Tests_per_1000people,Positives_per_1000people
New York,11230,2081,5173,6138,18000,"Bronx County, Kings County, New York County, Queens County, Richmond County",2842,12407,36628,2785,11230,9119,38.5,20276,89075,58782,58.07465619,23.36233511
New York,10474,301,725,4229,2279,"Bronx County, Kings County, New York County, Queens County, Richmond County",384,1278,4063,193,10474,7688,44.5,4820,12127,147,59.78395316,24.82064814
New York,10007,48,244,294,2112,"Bronx County, Kings County, New York County, Queens County, Richmond County",265,496,3813,0,10007,580,20.5,145,7023,5056,34.74298733,6.834686032
New York,10018,196,626,432,2948,"Bronx County, Kings County, New York County, Queens County, Richmond County",589,970,6657,52,10018,1471,26.5,1490,9687,4611,64.6226902,20.23330236
New York,11101,564,1712,4350,11850,"Bronx County, Kings County, New York County, Queens County, Richmond County",2194,3219,16416,914,11101,7908,27.5,5497,30043,9746,56.98498818,18.7730919
New York,10075,348,1217,677,6750,"Bronx County, Kings County, New York County, Queens County, Richmond County",479,2313,12451,81,10075,3070,29.5,1075,21556,16362,56.45759881,16.14399703
New York,11692,540,1211,11961,3718,"Bronx County, Kings County, New York County, Queens County, Richmond County",722,2513,7847,641,11692,5122,30.5,5135,20991,2093,57.69139155,25.72531085
New York,11411,634,1369,18790,3945,"Bronx County, Kings County, New York County, Queens County, Richmond County",680,4032,10587,1258,11411,1369,30.5,867,20759,207,65.94729997,30.54097018
New York,11211,1867,5269,3822,32274,"Bronx County, Kings County, New York County, Queens County, Richmond County",5896,10174,52701,1251,11211,24955,30.5,26791,102624,65618,51.34276582,18.19262551
New York,10029,1636,4097,20558,22127,"Bronx County, Kings County, New York County, Queens County, Richmond County",4696,9386,32257,1349,10029,38122,30.5,25526,79597,12310,51.47178914,20.55353845
New York,11432,1624,3512,9134,14790,"Bronx County, Kings County, New York County, Queens County, Richmond County",2984,7223,28606,2955,11432,15162,37,8662,62053,8027,56.59678017,26.17117625
New York,11370,1256,2688,4484,6019,"Bronx County, Kings County, New York County, Queens County, Richmond County",1466,2465,12290,1227,11370,12153,37,3335,32514,8236,82.67207972,38.62951344
New York,10026,595,1736,19796,15275,"Bronx County, Kings County, New York County, Queens County, Richmond County",2745,5688,19622,923,10026,8389,27.2,9804,39363,7744,44.1023296,15.11571781
New York,10471,556,1582,2276,4228,"Bronx County, Kings County, New York County, Queens County, Richmond County",829,4067,10020,254,10471,5003,28.2,1885,21896,12819,72.25063939,25.3927658
