,ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location,state_name,county,total_pop,white_pop,black_pop,hispanic_pop,poverty,percent_income_spent_on_rent,employed_pop,commuters_by_public_transportation,employed_education_health_social,employed_arts_entertainment_recreation_accommodation_food,employed_transportation_warehousing_utilities
36,60606,13,03/22/2020,03/28/2020,,,,,15,33,650,1429.8,,,0,0,0.0,0.0,2308,60606-13,POINT (-87.63676 41.882634),Illinois,"Cook County, DuPage County",3101.0,2129.0,73.0,195.0,237.0,20.0,2549.0,382.0,427.0,103.0,90.0
37,60606,17,04/19/2020,04/25/2020,8.0,25.0,347.0,1083.2,39,143,1690,6195.8,0.2,0.2,0,0,0.0,0.0,2308,60606-17,POINT (-87.63676 41.882634),Illinois,"Cook County, DuPage County",3101.0,2129.0,73.0,195.0,237.0,20.0,2549.0,382.0,427.0,103.0,90.0
38,60606,18,04/26/2020,05/02/2020,4.0,29.0,173.0,1256.5,37,180,1603,7799.0,0.1,0.2,1,1,43.3,43.3,2308,60606-18,POINT (-87.63676 41.882634),Illinois,"Cook County, DuPage County",3101.0,2129.0,73.0,195.0,237.0,20.0,2549.0,382.0,427.0,103.0,90.0
39,60606,12,03/15/2020,03/21/2020,,,,,15,18,650,779.9,,,0,0,0.0,0.0,2308,60606-12,POINT (-87.63676 41.882634),Illinois,"Cook County, DuPage County",3101.0,2129.0,73.0,195.0,237.0,20.0,2549.0,382.0,427.0,103.0,90.0
40,60638,15,04/05/2020,04/11/2020,81.0,148.0,147.0,269.0,232,648,422,1177.6,0.3,0.2,2,3,3.6,5.5,55026,60638-15,POINT (-87.771902 41.787032),Illinois,"Cook County, Cook County, DuPage County",58797.0,25612.0,1734.0,30440.0,4521.0,27.1,27727.0,3424.0,5088.0,2516.0,2843.0
41,60638,16,04/12/2020,04/18/2020,76.0,224.0,138.0,407.1,297,945,540,1717.4,0.3,0.2,3,6,5.5,10.9,55026,60638-16,POINT (-87.771902 41.787032),Illinois,"Cook County, Cook County, DuPage County",58797.0,25612.0,1734.0,30440.0,4521.0,27.1,27727.0,3424.0,5088.0,2516.0,2843.0
42,60638,11,03/08/2020,03/14/2020,,,,,1,2,2,3.6,,,0,0,0.0,0.0,55026,60638-11,POINT (-87.771902 41.787032),Illinois,"Cook County, Cook County, DuPage County",58797.0,25612.0,1734.0,30440.0,4521.0,27.1,27727.0,3424.0,5088.0,2516.0,2843.0
43,60638,10,03/01/2020,03/07/2020,,,,,1,1,2,1.8,,,0,0,0.0,0.0,55026,60638-10,POINT (-87.771902 41.787032),Illinois,"Cook County, Cook County, DuPage County",58797.0,25612.0,1734.0,30440.0,4521.0,27.1,27727.0,3424.0,5088.0,2516.0,2843.0
44,60638,12,03/15/2020,03/21/2020,5.0,5.0,9.0,9.1,42,44,76,80.0,0.1,0.1,0,0,0.0,0.0,55026,60638-12,POINT (-87.771902 41.787032),Illinois,"Cook County, Cook County, DuPage County",58797.0,25612.0,1734.0,30440.0,4521.0,27.1,27727.0,3424.0,5088.0,2516.0,2843.0
45,60638,17,04/19/2020,04/25/2020,141.0,365.0,256.0,663.3,477,1422,867,2584.2,0.3,0.3,1,7,1.8,12.7,55026,60638-17,POINT (-87.771902 41.787032),Illinois,"Cook County, Cook County, DuPage County",58797.0,25612.0,1734.0,30440.0,4521.0,27.1,27727.0,3424.0,5088.0,2516.0,2843.0
46,60638,13,03/22/2020,03/28/2020,23.0,28.0,42.0,50.9,166,210,302,381.6,0.1,0.1,0,0,0.0,0.0,55026,60638-13,POINT (-87.771902 41.787032),Illinois,"Cook County, Cook County, DuPage County",58797.0,25612.0,1734.0,30440.0,4521.0,27.1,27727.0,3424.0,5088.0,2516.0,2843.0
47,60638,18,04/26/2020,05/02/2020,187.0,552.0,340.0,1003.2,576,1998,1047,3631.0,0.3,0.3,9,16,16.4,29.1,55026,60638-18,POINT (-87.771902 41.787032),Illinois,"Cook County, Cook County, DuPage County",58797.0,25612.0,1734.0,30440.0,4521.0,27.1,27727.0,3424.0,5088.0,2516.0,2843.0
48,60638,19,05/03/2020,05/09/2020,166.0,718.0,302.0,1304.8,496,2494,901,4532.4,0.3,0.3,5,21,9.1,38.2,55026,60638-19,POINT (-87.771902 41.787032),Illinois,"Cook County, Cook County, DuPage County",58797.0,25612.0,1734.0,30440.0,4521.0,27.1,27727.0,3424.0,5088.0,2516.0,2843.0
49,60638,14,03/29/2020,04/04/2020,39.0,67.0,71.0,121.8,206,416,374,756.0,0.2,0.2,1,1,1.8,1.8,55026,60638-14,POINT (-87.771902 41.787032),Illinois,"Cook County, Cook County, DuPage County",58797.0,25612.0,1734.0,30440.0,4521.0,27.1,27727.0,3424.0,5088.0,2516.0,2843.0
50,60613,18,04/26/2020,05/02/2020,39.0,243.0,81.0,503.3,270,1075,559,2226.5,0.1,0.2,1,12,2.1,24.9,48281,60613-18,POINT (-87.661343 41.953742),Illinois,"Cook County, DuPage County",50113.0,36600.0,2854.0,5662.0,5599.0,25.2,35569.0,17030.0,7233.0,3616.0,1098.0
51,60613,12,03/15/2020,03/21/2020,16.0,16.0,33.0,33.1,82,98,170,203.0,0.2,0.2,0,0,0.0,0.0,48281,60613-12,POINT (-87.661343 41.953742),Illinois,"Cook County, DuPage County",50113.0,36600.0,2854.0,5662.0,5599.0,25.2,35569.0,17030.0,7233.0,3616.0,1098.0
52,60613,13,03/22/2020,03/28/2020,28.0,44.0,58.0,91.1,122,220,253,455.7,0.2,0.2,0,0,0.0,0.0,48281,60613-13,POINT (-87.661343 41.953742),Illinois,"Cook County, DuPage County",50113.0,36600.0,2854.0,5662.0,5599.0,25.2,35569.0,17030.0,7233.0,3616.0,1098.0
53,60613,17,04/19/2020,04/25/2020,34.0,204.0,70.0,422.5,189,805,392,1667.3,0.2,0.3,3,11,6.2,22.8,48281,60613-17,POINT (-87.661343 41.953742),Illinois,"Cook County, DuPage County",50113.0,36600.0,2854.0,5662.0,5599.0,25.2,35569.0,17030.0,7233.0,3616.0,1098.0
54,60613,14,03/29/2020,04/04/2020,48.0,92.0,99.0,190.6,132,352,273,729.1,0.4,0.3,1,1,2.1,2.1,48281,60613-14,POINT (-87.661343 41.953742),Illinois,"Cook County, DuPage County",50113.0,36600.0,2854.0,5662.0,5599.0,25.2,35569.0,17030.0,7233.0,3616.0,1098.0
55,60613,10,03/01/2020,03/07/2020,,,,,2,2,4,4.1,,,0,0,0.0,0.0,48281,60613-10,POINT (-87.661343 41.953742),Illinois,"Cook County, DuPage County",50113.0,36600.0,2854.0,5662.0,5599.0,25.2,35569.0,17030.0,7233.0,3616.0,1098.0
56,60613,15,04/05/2020,04/11/2020,47.0,139.0,97.0,287.9,124,476,257,985.9,0.4,0.3,4,5,8.3,10.4,48281,60613-15,POINT (-87.661343 41.953742),Illinois,"Cook County, DuPage County",50113.0,36600.0,2854.0,5662.0,5599.0,25.2,35569.0,17030.0,7233.0,3616.0,1098.0
57,60613,19,05/03/2020,05/09/2020,58.0,301.0,120.0,623.4,202,1277,418,2644.9,0.3,0.2,7,19,14.5,39.4,48281,60613-19,POINT (-87.661343 41.953742),Illinois,"Cook County, DuPage County",50113.0,36600.0,2854.0,5662.0,5599.0,25.2,35569.0,17030.0,7233.0,3616.0,1098.0
58,60613,16,04/12/2020,04/18/2020,31.0,170.0,64.0,352.1,140,616,290,1275.9,0.2,0.3,3,8,6.2,16.6,48281,60613-16,POINT (-87.661343 41.953742),Illinois,"Cook County, DuPage County",50113.0,36600.0,2854.0,5662.0,5599.0,25.2,35569.0,17030.0,7233.0,3616.0,1098.0
59,60613,11,03/08/2020,03/14/2020,,,,,14,16,29,33.1,,,0,0,0.0,0.0,48281,60613-11,POINT (-87.661343 41.953742),Illinois,"Cook County, DuPage County",50113.0,36600.0,2854.0,5662.0,5599.0,25.2,35569.0,17030.0,7233.0,3616.0,1098.0
60,60610,11,03/08/2020,03/14/2020,,,,,15,19,40,50.4,,,0,0,0.0,0.0,37726,60610-11,POINT (-87.63581 41.90455),Illinois,"Cook County, DuPage County",39019.0,26809.0,5666.0,2601.0,4383.0,26.1,25973.0,9301.0,5049.0,1958.0,905.0
61,60610,16,04/12/2020,04/18/2020,15.0,112.0,40.0,296.9,98,486,260,1288.2,0.2,0.2,0,1,0.0,2.7,37726,60610-16,POINT (-87.63581 41.90455),Illinois,"Cook County, DuPage County",39019.0,26809.0,5666.0,2601.0,4383.0,26.1,25973.0,9301.0,5049.0,1958.0,905.0
62,60610,12,03/15/2020,03/21/2020,14.0,15.0,37.0,39.8,79,98,209,259.8,0.2,0.2,0,0,0.0,0.0,37726,60610-12,POINT (-87.63581 41.90455),Illinois,"Cook County, DuPage County",39019.0,26809.0,5666.0,2601.0,4383.0,26.1,25973.0,9301.0,5049.0,1958.0,905.0
63,60610,19,05/03/2020,05/09/2020,22.0,173.0,58.0,458.6,186,981,493,2600.3,0.1,0.2,1,5,2.7,13.3,37726,60610-19,POINT (-87.63581 41.90455),Illinois,"Cook County, DuPage County",39019.0,26809.0,5666.0,2601.0,4383.0,26.1,25973.0,9301.0,5049.0,1958.0,905.0
64,60610,15,04/05/2020,04/11/2020,21.0,97.0,56.0,257.1,99,388,262,1028.5,0.2,0.2,1,1,2.7,2.7,37726,60610-15,POINT (-87.63581 41.90455),Illinois,"Cook County, DuPage County",39019.0,26809.0,5666.0,2601.0,4383.0,26.1,25973.0,9301.0,5049.0,1958.0,905.0
65,60610,13,03/22/2020,03/28/2020,29.0,44.0,77.0,116.6,109,207,289,548.7,0.3,0.2,0,0,0.0,0.0,37726,60610-13,POINT (-87.63581 41.90455),Illinois,"Cook County, DuPage County",39019.0,26809.0,5666.0,2601.0,4383.0,26.1,25973.0,9301.0,5049.0,1958.0,905.0
66,60610,18,04/26/2020,05/02/2020,23.0,151.0,61.0,400.3,166,795,440,2107.3,0.1,0.2,0,4,0.0,10.6,37726,60610-18,POINT (-87.63581 41.90455),Illinois,"Cook County, DuPage County",39019.0,26809.0,5666.0,2601.0,4383.0,26.1,25973.0,9301.0,5049.0,1958.0,905.0
67,60610,14,03/29/2020,04/04/2020,32.0,76.0,85.0,201.5,82,289,217,766.0,0.4,0.3,0,0,0.0,0.0,37726,60610-14,POINT (-87.63581 41.90455),Illinois,"Cook County, DuPage County",39019.0,26809.0,5666.0,2601.0,4383.0,26.1,25973.0,9301.0,5049.0,1958.0,905.0
68,60610,17,04/19/2020,04/25/2020,16.0,128.0,42.0,339.3,143,629,379,1667.3,0.1,0.2,3,4,8.0,10.6,37726,60610-17,POINT (-87.63581 41.90455),Illinois,"Cook County, DuPage County",39019.0,26809.0,5666.0,2601.0,4383.0,26.1,25973.0,9301.0,5049.0,1958.0,905.0
69,60610,10,03/01/2020,03/07/2020,,,,,4,4,11,10.6,,,0,0,0.0,0.0,37726,60610-10,POINT (-87.63581 41.90455),Illinois,"Cook County, DuPage County",39019.0,26809.0,5666.0,2601.0,4383.0,26.1,25973.0,9301.0,5049.0,1958.0,905.0
70,60651,19,05/03/2020,05/09/2020,228.0,1007.0,355.0,1566.9,622,2902,968,4515.5,0.4,0.3,3,40,4.7,62.2,64267,60651-19,POINT (-87.741017 41.901964),Illinois,"Cook County, DuPage County",63218.0,2623.0,32370.0,26860.0,16159.0,38.0,25900.0,5699.0,6189.0,3651.0,2483.0
